Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
10,Morgana,1,0,1,0,0.0,10.0,11.0,6739,0.3
11,Leona,2,1,1,0.5,1.0,5.0,14.5,7812,1.0
11,Morgana,2,1,1,0.5,1.0,5.5,7.5,7729,0.8
11,Brand,1,0,1,0,2.0,8.0,0.0,5357,0.7
